Row Labels,Count of Column3
Lakseslakteriet På Kråkøy,1
Kullerud Gård,1
Langevatn Vannbehandlingsanlegg,1
Kvamskogen Vassbehandlingsanlegg,1
Lars Selheim Gårdsslakteri Voss,1
Kvitebjørn Varme Avfallsforbrenningsanlegg Skattøra,1
Larvik Impregneringskompani AS,1
Løgavlen Dolomittbrudd,1
Lauvåsen Steinbrudd,1
Franzefoss Gjenvinning,1
Leirduebane På Heggenes,1
Lakselv Lufthavn,1
Hembre Grustak,1
Landbasert,1
Hengsvann Skyte- Og Øvingsfelt,1
Langneset,1
Hennig-olsen Is AS,1
Larvik Brann Og Redning,1
Herøya Industripark,1
Laugslet Grustak,1
Herfjorden,1
Leca Rælingen,1
Leknes Lufthavn,1
Forsvarets Operative Hovedkontor,1
Leksdal Skyte- Og Øvingsfelt,1
Lensmyra Renseanlegg,1
Hermod Teigen Risavika,1
Lerøy Austevoll AS,1
Hestnestunnelen,1
Lesja Riflebaner,1
Hias Vannbehandlingsanlegg,1
Lieslia Skyte- Og Øvingsfelt,1
Hillesvåg Ullvarefabrikk AS,1
Liholmen Produksjon AS,1
Himberg Pukkverk,1
Lillehammer Vannverk,1
Hindalsrøra Vannbehandling,1
Lkab,1
Hinnøybilen,1
Lofoten Biomarine AS,1
Hitra Pukkverk,1
Lofoten Viking AS,1
Hitramat AS,1
Lora Riflebaner,1
Hjelset Vannbehandlingsanlegg,1
Lutelandet Offshore AS,1
Hodalen Riflebane,1
Lyngmyr Riflebane,1
Mølle- Og Siloanlegg For Miljøkalk,1
Forforedling,1
Møllendal Krematorium,1
Møre Og Romsdal Fk,1
Hofseth Aqua AS,1
Mårnes Kvartsittbrudd,1
Hofseth Biocare AS,1
Maarud AS,1
Hokksund Pukkverk,1
Macks Ølbryggeri AS,1
Hole Kalkverk,1
Forestia AS,1
Holmøy Lakseslakteri,1
Brattås Skrotsteindeponi,1
Østlandsjord,1
Dokka Fasteners AS,1
Ålesund Riflebaner,1
Felleskjøpet Steinkjer,1
Åndalen Pukkverk,1
Co2 Technology Centre Mongstad,1
Årabrot Brannøvningsplass,1
E16 Bjørum -skaret- Driftsfase- Utslipp Av Overvann Fra Vei,1
Årnes Vannverk,1
Esso Norge Slagentangen,1
Åstunnelen,1
Brønnøysund Lufthavn Brønnøy,1
Aak Steinbrudd,1
Calanus AS,1
Aaltvedt Betong AS,1
Damsgårdtunell Tunnelvaskevann Lyngbøvannet,1
Aas Mek. Verksted AS,1
Driftsutslipp Ivar Hovedvannledning Vest,1
Aass Bryggeri,1
Egersund Granite,1
Addcon Nordic,1
Elkem Thamshavn,1
Adesso Bioproducts,1
Fatland Ølen,1
Af Offshore Decom Miljøbase Vats,1
Ålesund Krematorium,1
7 Steel Nordic,1
Brannøvingsanlegg For Lillehammer Region Brannvesen,1
Alcoa Lista,1
Brunstad AS,1
Alcoa Norway AS,1
Ørland Kampflybase,1
Alfaset Krematorium,1
Dalen Sandtak,1
A. Johansen AS,1
Den Stolte Hane,1
Allnex Norway AS,1
Drens- Og Vaskevann,1
Alloc AS,1
E 18 Bambletunnelen,1
Allum Elgbane,1
E6 Kulstaddalen,1
Alsvåg Lakseslakteri,1
Eikefjord Vassverk,1
Alta Lufthavn,1
Elkem Rana,1
Aludyne Norway,1
Epax Norway AS,1
Alvdal Skurlag,1
Ålerudmyra Riflebane,1
Amalie Skram Videregående Skole Og Helleren Svømmehall,1
Felleskjøpet Kambo 1500 Fabrikk,1
Amsrud Pukkverk Maskinservice,1
Fiberprodukt AS,1
Andøya Flystasjon,1
Brødr. Sunde,1
Andøya Space Defence,1
Brandbu Vannbehandlingsanlegg,1
Andenes Fiskemottak AS,1
Brannøvingsplass Lakselv Lufthavn Banak,1
Andsvatn Reinslakteri Sus,1
Brekke Stenbrudd,1
Angråmyra Riflebane,1
Building Material Corporation AS,1
Anlegg For Forbrenningsforsøk Ved Råde Mølle,1
Carbon Centric AS,1
Anlegg For Mottak Og Behandling Av Asfalt Og Betong I Klæbu,1
Chitinor AS,1
Anleggsprosjekter I Kommunen,1
Cruda AS,1
Anleggsvirksomhet Tunnelarbeider Soknedal,1
Dalpro AS,1
Arba One AS,1
Dc Halsvik Aggregates AS,1
Arbor AS,1
Diplom-is,1
Arcos AS,1
Dot Duozink AS,1
Arctic Autorent,1
Drifsfase E134 Røldal-seljestad Tunnel,1
Arctic Husky Travellers,1
Dupont Nutrition Norge AS,1
Arendal Lufthavn Gullknapp,1
Ørskog Transformatorstasjon,1
Arendals Bryggeri AS,1
E16 Kvamskleiva,1
Arnøy Laks Slakteri,1
Ecopro,1
Art Nor Potetindustri,1
Østfold Energi,1
AS Glea,1
Ekeberg Oljelager,1
Asfalt Sør AS,1
Elkem Bremanger,1
Asfaltfabrikken AS,1
Elkem Tana,1
Ølen Betong Kvitsøy,1
Elvedalen Motor- Og Aktivitetssenter,1
Asfaltverk Ottersbo,1
Espeland Vannbehandlingsanlegg,1
Asfaltverk Søra Kalberg,1
Evanger Pølsefabrikk,1
Asfaltverk Skattøra Tromsø,1
Fagervika Tankanlegg,1
Aunsjøen Pukkverk,1
Fatland Oslo,1
Austevoll Vassverk,1
Felleskjøpet Rogaland Agder,1
Automester Svalbard,1
Ferrozink Trondheim AS,1
Avfallsforbrenning,1
Figgjo,1
Avfallsforbrenningsanlegg Heimdal,1
Finnvika Brannøvingsanlegg,1
Øre Vilt SA,1
Brønnøy Kalk AS,1
B. Hansen Renovasjon AS,1
Brøtaskogen Massemottak Og Deponi,1
Båtsfjord Lufthavn,1
Brann- Og Redningsskolen,1
Bakkland Transport Pukkverk,1
Brannøvingsfelt,1
Balhald Steinbrudd,1
Brannøvingsplass Lenvik Kommune,1
Bama Industri,1
Brattåsen Rifle- Og Leirduebaner,1
Banak Flystasjon,1
Bremanger Quarry AS,1
Bandak Nct AS,1
